Date,Open,High,Low,Close
2020-11-14,148.7,150.8,148.0,148.85
2020-11-17,152.5,159.35,152.2,158.0
2020-11-18,158.85,178.8,158.55,173.5
2020-11-19,171.4,176.35,166.55,167.95
2020-11-20,170.05,171.55,165.55,169.1
2020-11-23,169.5,173.9,165.55,170.7
2020-11-24,171.85,175.5,171.1,172.05
2020-11-25,175.0,176.8,169.25,171.45
2020-11-26,171.6,175.0,171.05,173.75
2020-11-27,174.65,183.85,174.65,180.35
2020-12-01,182.35,182.4,178.1,179.75
2020-12-02,184.0,187.35,181.1,183.6
2020-12-03,185.0,186.0,183.25,184.85
2020-12-04,186.5,188.8,182.2,184.15
2020-12-07,184.45,186.45,182.7,183.55
2020-12-08,184.95,185.7,178.95,181.8
2020-12-09,183.0,186.4,181.65,182.7
2020-12-10,182.7,182.7,176.4,177.6
2020-12-11,177.95,181.45,176.5,178.85
2020-12-14,181.0,181.5,176.7,177.65
2020-12-15,176.45,179.7,173.25,178.9
2020-12-16,181.0,183.8,180.1,182.55
2020-12-17,184.0,184.0,180.65,181.7
2020-12-18,180.9,181.5,176.65,180.55
2020-12-21,176.0,177.55,162.5,164.55
2020-12-22,164.55,169.2,156.7,164.95
2020-12-23,165.0,169.7,163.4,169.2
2020-12-24,172.0,178.0,172.0,175.95
2020-12-28,179.85,187.4,179.0,186.35
2020-12-29,187.9,188.45,181.1,183.45
2020-12-30,183.1,185.4,180.4,184.15
2020-12-31,184.85,187.5,182.8,183.85
